Date,Open,High,Low,Close,Volume
10/11/2021,"139.52","140.78","139.44","139.53","4,349,427"
10/08/2021,"139.66","140.09","139.01","139.66","4,615,761"
10/07/2021,"138.78","140.70","138.76","139.24","7,022,709"
10/06/2021,"136.24","137.79","136.13","137.62","6,458,888"
10/05/2021,"135.95","137.71","135.90","136.62","6,865,805"
10/04/2021,"137.09","138.23","134.71","135.73","9,990,084"
10/01/2021,"139.26","139.63","135.92","137.05","10,004,850"
09/30/2021,"140.64","141.73","139.25","139.38","7,490,235"
09/29/2021,"140.65","141.83","140.32","140.44","7,125,163"
09/28/2021,"141.88","142.07","139.99","140.50","6,860,254"
09/27/2021,"142.87","143.55","141.84","142.25","7,083,554"
09/24/2021,"142.50","143.69","142.49","143.17","4,453,540"
09/23/2021,"143.22","143.63","142.45","142.77","5,195,140"
09/22/2021,"143.47","143.60","142.29","142.69","5,014,843"
09/21/2021,"142.70","144.58","142.67","143.02","5,812,490"
09/20/2021,"143.50","145.19","141.62","142.74","8,351,467"
09/17/2021,"144.14","146.16","144.02","144.73","24,346,369"
09/16/2021,"144.44","145.31","143.69","145.03","6,142,756"
09/15/2021,"144.07","144.75","143.79","144.55","4,949,986"
09/14/2021,"145.48","145.88","143.92","144.30","5,511,250"
09/13/2021,"146.52","147.15","144.64","145.06","6,509,765"
09/10/2021,"147.20","147.24","145.43","145.89","5,258,401"
09/09/2021,"147.46","147.61","145.84","146.42","7,442,869"
09/08/2021,"146.95","148.32","146.73","147.46","6,502,784"
09/07/2021,"148.97","149.17","147.06","147.27","8,451,983"
09/03/2021,"148.20","149.65","147.90","149.25","5,737,903"
09/02/2021,"148.12","148.79","147.69","148.56","6,674,064"
09/01/2021,"147.56","147.93","146.57","147.78","6,352,226"
08/31/2021,"147.99","148.44","147.24","148.10","8,359,517"
08/30/2021,"146.42","148.00","146.02","147.70","5,480,212"
08/27/2021,"147.51","147.69","146.18","146.52","7,696,152"
08/26/2021,"147.47","148.27","146.67","147.35","7,822,284"
08/25/2021,"148.41","149.28","148.03","148.96","7,307,055"
08/24/2021,"150.50","150.50","148.70","148.90","6,276,273"
08/23/2021,"151.53","151.79","150.41","150.45","5,388,696"
08/20/2021,"150.48","151.72","149.75","151.45","6,466,796"
08/19/2021,"148.33","150.66","148.00","150.11","7,543,457"
08/18/2021,"150.55","152.57","149.02","149.10","9,403,945"
08/17/2021,"150.40","152.50","149.10","150.70","16,983,359"
08/16/2021,"149.68","151.73","149.04","150.75","15,975,650"
08/13/2021,"149.38","150.36","149.16","149.53","5,327,070"
08/12/2021,"149.00","150.21","148.81","149.06","6,092,424"
08/11/2021,"149.51","151.58","149.16","150.01","13,818,560"
08/10/2021,"146.97","148.95","146.25","148.68","12,754,050"
08/09/2021,"145.91","146.48","145.40","145.58","5,270,591"
08/06/2021,"146.21","146.47","144.95","145.23","6,421,230"
08/05/2021,"144.23","145.54","143.99","145.49","9,001,814"
08/04/2021,"143.38","143.94","142.74","142.84","5,100,528"
08/03/2021,"142.44","143.90","142.36","143.82","6,305,118"
08/02/2021,"142.83","142.87","141.67","142.22","6,652,841"
07/30/2021,"141.20","142.96","141.20","142.55","5,444,061"
07/29/2021,"142.64","142.85","142.02","142.24","3,687,689"
07/28/2021,"142.48","143.25","141.66","142.06","4,690,487"
07/27/2021,"143.00","143.00","141.96","142.64","5,131,905"
07/26/2021,"142.36","143.86","141.46","142.63","6,172,445"
07/23/2021,"141.52","142.72","141.01","142.43","5,315,836"
07/22/2021,"141.13","142.12","140.80","141.27","4,337,765"
07/21/2021,"142.50","142.54","140.71","141.17","6,197,299"
